Created          DealCid                                                      DealId  Provider  State                          On Chain?        Slashed?  PieceCID                                                          Size       Price               Duration  Message
Sep  1 23:21:11  bafyreiebr7gt5q5nbp326uzksqo2njfhm5ywuov6p4bemsuyfzt5s5cpjq  62225   t015905   StorageDealSealing             N                N         baga6ea4seaqfmogidqfeo2klni35hcqbdvrpic6q5g6pbipzgeopomdhgxfmofa  7.938 MiB  0.000075298375 FIL  602387    
Sep  1 23:21:17  bafyreidsgsnwgu27klmxixf6d4hxbsao5pbddqptbgyq54tud72kti7qom  0       t03523    StorageDealTransferring        N                N         baga6ea4seaqhsnb2uwdzdjmqxdd3pgxbwozbcrfai7gboqnvnvr5h5jbre2okaq  7.938 MiB  0.000075131875 FIL  601055    
Sep  1 23:21:22  bafyreigsh6dhqdemxz7fiv5gmpde6ilwwzrnntndzfijiu4haqqczh2fie  0       t015848   StorageDealTransferring        N                N         baga6ea4seaqntynfq6cuwafqsccrm5yyubjtcudlw4kckwxrhegjiuzdvstyacy  7.938 MiB  0.000075152625 FIL  601221    
Sep  1 23:21:26  bafyreicom6nyvkkza2yt2bcjvlrdkanfvbfl6midptic46vb5pw6wk6ozm  0       t014432   StorageDealTransferring        N                N         baga6ea4seaqi6fap5puxrsigugtvvtutbaxhg7vqzgd7qcvwpkx6c2xwx32yikq  7.938 MiB  0.00007535625 FIL   602850    
Sep  1 23:21:27  bafyreicv2uc54qqdy5nd2n2eov6zkhekg2oqlle7tyjm5skwcinrfaohei  62244   t02301    StorageDealActive              Y (epoch 25537)  N         baga6ea4seaqeozvjr6aega3qed6cxbwu775zaryhmj3zsu7uavt4ke6x6otowiq  7.938 MiB  0.000075408125 FIL  603265    
Sep  1 23:21:37  bafyreibffliyqvtoga3b6rdc6uo456dyolnocyvijadysj233wwnatw6my  62230   t014382   StorageDealSealing             N                N         baga6ea4seaqe3hqcicjt6okemrsa26w3nmz4ljaterwyzp5zq2bquyy7fvhxonq  7.938 MiB  0.00007532775 FIL   602622    
Sep  1 23:21:50  bafyreidnu25pubyagotgtxzblrptoo4okar6ez5avg5udbwuablxvtr7x4  0       t09573    StorageDealTransferring        N                N         baga6ea4seaqdrxpbmgblk7minoa7krdgzbtjelgskih75edod3n3agftq4j54oi  7.938 MiB  0.000075428125 FIL  603425    
Sep  1 23:21:53  bafyreibe5drfcl3rvm3m4w3hpiun4l2yki3uof5s6l5mzeqttrnp6v4aqa  62257   t08937    StorageDealSealing             N                N         baga6ea4seaqozt6tcwihundxyf4rkoijm7jxnurnlkofcojkf6fwh3sl7latkbi  7.938 MiB  0.000075389125 FIL  603113    
Sep  1 23:21:56  bafyreibipk6hblmmsn2n7jx2zdgmo7jtoshpeksrt5gybxfl7bk3a3u2na  0       t03344    StorageDealTransferring        N                N         baga6ea4seaqjdx5e6rgiemtpy36e5ozvm2va3c6g4xadzlhrph6kdgqezeaxuna  7.938 MiB  0.000075217125 FIL  601737    
Sep  1 23:21:58  bafyreiexvyao3gprticofthcqwddjupmbzu23iqnxhafswnjvdai5kx3aq  62250   t09792    StorageDealSealing             N                N         baga6ea4seaqm5bg4y4wr7saianpjzozd464b546orjxyrc7eyjanxvampqsgcby  7.938 MiB  0.00007534425 FIL   602754    
Sep  1 23:22:00  bafyreic5w7lmlonzwqcyjho25vtpn272ejeffn5fv3dnwpcfrv2pia7che  62261   t02404    StorageDealSealing             N                N         baga6ea4seaqgwe3g3teuhe5226ynlirpybi7zer3dwz6nt6a3in3nlxbe4fykmy  7.938 MiB  0.000075163625 FIL  601309    
Sep  1 23:22:10  bafyreibcbogobsxtquzalse5vnlcawog4jpefao755hvsmgf6r3hqx744i  0       t016172   StorageDealError               N                N         baga6ea4seaqcwhkwuoo5turlbkop5xflwkr3qrxvztalabk5ugnkrzf5y7l7okq  7.938 MiB  0.00007545925 FIL   603674    sending proposal to storage provider failed: failed to dial 12D3KooWBeg4HwAdG4Xks97Y274bbRKHJkr3xG4XBpCYRLpAtSxA: all dials failed
  * [/ip4/14.18.234.67/tcp/9998] dial tcp4 0.0.0.0:41797->14.18.234.67:9998: i/o timeout
Sep  1 23:22:12  bafyreigz45dmga4zqdgivhpdg6z5mqi7joyetofmc3tgtreuag2mit7vxm  0      t010491  StorageDealTransferring        N                N  baga6ea4seaqmwvr7dgkdc6vlhrqgj5kop7osem4iu4bpb6b22h37cgwdgu6hqni  7.938 MiB  0.000075306 FIL     602448  
Sep  1 23:22:14  bafyreicatxwxycruvs4exr2pnvdoj3jz2hbz73f5s3pfkitk5ptis3jkgy  62260  t010152  StorageDealSealing             N                N  baga6ea4seaqbffvm5og4jmftjuux3hw3z6zw4ho7ghgdajiponws22xawzd42nq  7.938 MiB  0.000075203 FIL     601624  
Sep  1 23:22:22  bafyreid3b2cx6ktopd7rzkew2pmdo55x4mfc5jkrkiyddzpvm6b2berwoe  0      t09053   StorageDealTransferring        N                N  baga6ea4seaqnit5nkrbuubkxzfy4y2fxuabhuzxlvr5ej4bpa47heacwy3lt6jq  7.938 MiB  0.00007532325 FIL   602586  
Sep  1 23:22:24  bafyreig32tnpjlmkzv62ol76ku5tj5lpflqtntir4ocindummiobm5c52e  62254  t07987   StorageDealSealing             N                N  baga6ea4seaqkrqyotoortfqb76werlvhrothmcc2acyb4gvprbii3frwrz7yqdy  7.938 MiB  0.00007540125 FIL   603210  
Sep  1 23:22:28  bafyreiat54khyhszzxihok2ey22nuckf3cm7qudiqomm5p2uuw3tc4rw5q  0      t08094   StorageDealTransferring        N                N  baga6ea4seaqn7ghd257jgqvvsabvyinkt2o5vmc7zntwrpuwg5snd53cfv6t2iq  7.938 MiB  0.00007541925 FIL   603354  
Sep  1 23:22:40  bafyreib6egbspa3ga7igiqf24oo2uqpmqurv4qdpybctv2zsyxgisbhi4e  62251  t015782  StorageDealSealing             N                N  baga6ea4seaqjjarovtr7476rxuqpyrtvkzv6blm2uwjgig2ih2h6io474r5wwoi  7.938 MiB  0.000075129375 FIL  601035  
Sep  1 23:22:49  bafyreid6tqdudxtoiija5hon5zcvvxc7rtvxv67hffluvkqk22k23ddoie  62249  t014431  StorageDealError               N                N  baga6ea4seaqbxaakjynijzi2pfec3kwn4yk5fzjic6yfhopla7j4dkxoqdhogay  7.938 MiB  0.000075320625 FIL  602565  error in deal activation: handling applied event: deal wasn't active: deal=62249, parentState=bafy2bzacedm3w7eput77bd2sovvodxrplrt5nmtx7lyemsh25qkipvd5rqtug, h=25532
