Created          DealCid                                                      DealId  Provider  State             On Chain?    Slashed?     PieceCID                                                          Size       Price               Duration  Message
Sep 18 05:36:20  bafyreib3a6abhcphvg25ip5lxqj2yzv7e534uzyfuoixc4u3jhctozw55a  0       t015757  StorageDealError   N                N            baga6ea4seaqi6fap5puxrsigugtvvtutbaxhg7vqzgd7qcvwpkx6c2xwx32yikq  7.938 MiB  0.000075297125 FIL  602377  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:36:25  bafyreif5cut57uccbuxfnnv6oqjargvgfuqcaxzi4frn2ctspxud4brtdy  146795  t020489  StorageDealActive  Y (epoch 72080)  N            baga6ea4seaqe3hqcicjt6okemrsa26w3nmz4ljaterwyzp5zq2bquyy7fvhxonq  7.938 MiB  0.000075438125 FIL  603505  
Sep 18 05:36:29  bafyreihxu6ht7absmotwe7ytqh53aqegr6jryvtobxrwyvqn4qwemdctrq  146796  t019094  StorageDealError   Y (epoch 0)      Y (epoch 0)  baga6ea4seaqdrxpbmgblk7minoa7krdgzbtjelgskih75edod3n3agftq4j54oi  7.938 MiB  0.000075426 FIL     603408  error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146796 not found
Sep 18 05:36:37  bafyreibz2wgskwucn5b4h7b5r5vtbwsb74vgoed4jl5bslyi745jtn24ai  146793  t010538  StorageDealError   Y (epoch 0)      Y (epoch 0)  baga6ea4seaqeozvjr6aega3qed6cxbwu775zaryhmj3zsu7uavt4ke6x6otowiq  7.938 MiB  0.0000753115 FIL    602492  error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146793 not found
Sep 18 05:37:28  bafyreibjwqbzx6uay36gglnmbhi25cwipbbfexo2a3r7njlhl2kncdpgki  0       t016309  StorageDealError   N                N            baga6ea4seaqozt6tcwihundxyf4rkoijm7jxnurnlkofcojkf6fwh3sl7latkbi  7.938 MiB  0.000075168 FIL     601344  unexpected deal status while waiting for data request: 11 (StorageDealFailing). Provider message: deal rejected: Client Wallet:t3vp7m3244tjtxrvg4n2lfedtqnnnzhyno3ym6vnl4wzozztik4f2kvzfbfbgzcga7g3mckddw6x4ahp5n4iwa / PeerID:12D3KooWGSMixJZE6HMUcymXfGgHF8jyUvae8TBj8g5GxUyAjh2u not found in allow-list: open a PR against https://github.com/filecoin-project/slingshot/blob/master/allowlist.txt

Sep 18 05:37:46  bafyreihectx5vw4ravvebhgojpfxnylyddpqqz7qvpdluvnenxveitzoge  0       t014394  StorageDealError  N            N            baga6ea4seaqgwe3g3teuhe5226ynlirpybi7zer3dwz6nt6a3in3nlxbe4fykmy  7.938 MiB  0.000075399875 FIL  603199  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:37:51  bafyreih7nwbv73uutsjcyuusd52wcrv2mfgyg57lng4fqhukib5klgpboa  146790  t03328   StorageDealError  Y (epoch 0)  Y (epoch 0)  baga6ea4seaqjdx5e6rgiemtpy36e5ozvm2va3c6g4xadzlhrph6kdgqezeaxuna  7.938 MiB  0.0000752915 FIL    602332  error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146790 not found
Sep 18 05:37:56  bafyreidyqgqcvit7xiogh6b3xw2rgswdahqmhs4ffdxtqixa675qr4umwm  0       t03339   StorageDealError  N            N            baga6ea4seaqbffvm5og4jmftjuux3hw3z6zw4ho7ghgdajiponws22xawzd42nq  7.938 MiB  0.000075359875 FIL  602879  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:38:02  bafyreierzaqj65qgik5hmlivehdmds7znqbh65iwps4fytfwlywx5n2l3i  146798  t02620   StorageDealError  Y (epoch 0)  Y (epoch 0)  baga6ea4seaqcwhkwuoo5turlbkop5xflwkr3qrxvztalabk5ugnkrzf5y7l7okq  7.938 MiB  0.000075247375 FIL  601979  error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146798 not found
