wiki.zip.aa
t01945-2342 t01581-2359 t01699-2367 t02014-2391
Retrieving t01945 2342 bafykbzaceantezfhi5gfy22imlfbb4gofn75vnu2lo3bzje4fddiyrph2d5ls
> Recv: 0 B, Paid 0 FIL, ClientEventOpen (DealStatusNew)
> Recv: 62.01 MiB, Paid 0.000000000115369588 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 63.01 MiB, Paid 0.000000000115369588 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 64.01 MiB, Paid 0.000000000115369588 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 65.01 MiB, Paid 0.000000000115369588 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 65.01 MiB, Paid 0.000000000115369588 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 66.01 MiB, Paid 0.000000000115369588 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 66.01 MiB, Paid 0.000000000115369588 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 66.01 MiB, Paid 0.00000000013843826 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 67.01 MiB, Paid 0.00000000013843826 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 68.01 MiB, Paid 0.00000000013843826 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 69.01 MiB, Paid 0.00000000013843826 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 70.01 MiB, Paid 0.00000000013843826 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 71.01 MiB, Paid 0.00000000013843826 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 72.01 MiB, Paid 0.00000000013843826 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 73.01 MiB, Paid 0.00000000013843826 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 74.01 MiB, Paid 0.00000000013843826 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 75.01 MiB, Paid 0.00000000013843826 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 76.01 MiB, Paid 0.00000000013843826 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 77.01 MiB, Paid 0.00000000013843826 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 77.01 MiB, Paid 0.00000000013843826 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 78.01 MiB, Paid 0.00000000013843826 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 78.01 MiB, Paid 0.00000000013843826 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 78.01 MiB, Paid 0.000000000163604084 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 79.01 MiB, Paid 0.000000000163604084 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 80.01 MiB, Paid 0.000000000163604084 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 81.01 MiB, Paid 0.000000000163604084 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 82.01 MiB, Paid 0.000000000163604084 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 83.01 MiB, Paid 0.000000000163604084 FIL, ClientEventBlocksReceived (DealStatusOngoing)
