> Recv: 0 B, Paid 0 FIL, ClientEventOpen (DealStatusNew)
> Recv: 9.791 MiB, Paid 0.000000000012628974 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.791 MiB, Paid 0.000000000012628974 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 10.04 MiB, Paid 0.000000000012628974 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 10.04 MiB, Paid 0.000000000012628974 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 10.04 MiB, Paid 0.000000000012628974 FIL, ClientEventVoucherShortfall (DealStatusCheckFunds)
> Recv: 10.04 MiB, Paid 0.000000000012628974 FIL, ClientEventPaymentChannelAddingFunds (DealStatusPaymentChannelAddingFunds)
> Recv: 10.04 MiB, Paid 0.000000000012628974 FIL, ClientEventPaymentChannelReady (DealStatusOngoing)
> Recv: 10.04 MiB, Paid 0.000000000012628974 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 10.04 MiB, Paid 0.000000000012628974 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 10.04 MiB, Paid 0.000000000021058524 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 10.29 MiB, Paid 0.000000000021058524 FIL, ClientEventBlocksReceived (DealStatusOngoing)
ERROR: retrieval timed out

Command exited with non-zero status 124
0.25user 0.11system 22:00.01elapsed 0%CPU (0avgtext+0avgdata 38356maxresident)k
2832inputs+0outputs (182major+4142minor)pagefaults 0swaps
